Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Ouray,1,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Park,1,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Pitkin,157541,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Pueblo,375711,1196018
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Routt,214650,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Saguache,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,San Miguel,75215,319620
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Sedgwick,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Summit,253937,1427935
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Teller,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Weld,580961,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Non-Reported,857213,3082513
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Adams,452636,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Alamosa,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Arapahoe,1517828,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Archuleta,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Boulder,3136133,1835900
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Chaffee,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Clear Creek,92791,369117
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Costilla,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Denver,15064678,12005332
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Eagle,178397,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,El Paso,5535184,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Fremont,225243,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Garfield,371447,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Gilpin,43162,114408
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Grand,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Gunnison,1,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Jefferson,2039086,1368618
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Lake,0,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,La Plata,613521,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Larimer,1162178,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Mesa,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Moffat,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Montezuma,108703,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Montrose,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Ouray,1,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Park,1,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Pitkin,123525,227021
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Pueblo,401959,1132339
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Routt,186308,1
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,San Miguel,64107,188733
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Sedgwick,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Summit,243097,757131
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Teller,1,0
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Weld,519545,521853
0414_MarijuanaSalesReport PUBLISH.xlsx,2014-04-30,Non-Reported,607341,2245534
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Adams,467977,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Alamosa,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Arapahoe,1511922,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Archuleta,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Boulder,2823124,2354205
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Chaffee,88974,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Clear Creek,97349,320076
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Costilla,1,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Denver,14150620,11300905
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Eagle,146126,1
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,El Paso,5518910,0
0514_MarijuanaSalesReport PUBLISH.xlsx,2014-05-31,Fremont,239918,0
